user->id,created_at,id,favorite_count,favorited,coordinates,lang,place->place_type,retweet_count,retweeted,text
3841271,Wed Mar 26 15:48:09 +0000 2014,448848889123467265,0,False,None,en,None,0,False,So#IceAge is closing on March 1st 2013.Always had great coffee there.Must be the reason is #Telangana ... http://t.co/VV0sB0mHBI
153756788,Wed Mar 26 15:16:36 +0000 2014,448840950165831681,0,False,None,en,None,1,False,RT @newsandpics: Any other rights groups want to take up case of Tetley and the Assam tea slaves? Pics and film available. http://t.co/WJkA\u2026
414566141,Wed Mar 26 15:11:47 +0000 2014,448839736983945216,0,False,None,en,None,2,False,"RT @D_Supriya: @FOX_Traveller #TwistOfTaste Very hard to choose 1 dish,every dish with twist was very good,But chicken with chocolate gravy\u2026"
99648586,Wed Mar 26 15:10:47 +0000 2014,448839488924442624,0,False,None,en,None,1,False,Any other rights groups want to take up case of Tetley and the Assam tea slaves? Pics and film available. http://t.co/WJkAlTLPT9 #slavery
1565969708,Wed Mar 26 14:44:47 +0000 2014,448832944224743424,0,False,None,en,None,4,False,"RT @Khandelw13Sagar: This is an election where a tea seller from the Opposition, to defeat him everyone has come together. They say Modi sh\u2026"
163903064,Wed Mar 26 14:42:46 +0000 2014,448832435019464704,0,False,None,en,None,4,False,"RT @Khandelw13Sagar: This is an election where a tea seller from the Opposition, to defeat him everyone has come together. They say Modi sh\u2026"
88640443,Wed Mar 26 14:37:24 +0000 2014,448831087205425153,0,False,None,en,None,4,False,"RT @Khandelw13Sagar: This is an election where a tea seller from the Opposition, to defeat him everyone has come together. They say Modi sh\u2026"
1882198280,Wed Mar 26 14:33:15 +0000 2014,448830040948875264,0,False,None,en,None,4,False,"RT @Khandelw13Sagar: This is an election where a tea seller from the Opposition, to defeat him everyone has come together. They say Modi sh\u2026"
1407288170,Wed Mar 26 14:26:22 +0000 2014,448828311595008001,0,False,None,en,None,4,False,"This is an election where a tea seller from the Opposition, to defeat him everyone has come together. They say Modi should not come: #NaMo"
43833467,Wed Mar 26 14:13:37 +0000 2014,448825101623259136,0,False,None,en,None,0,False,Chicken Momo (@ Momo's &amp; More) http://t.co/tt24yjj7ii
286025642,Wed Mar 26 14:08:24 +0000 2014,448823789925593089,0,False,None,en,None,1,False,RT @TanmayL7: Pay Rs 5000 for a cup of tea with Yogendra Yadav: \nThe Aam Aadmi Party (AAP) is leaving no stone unturned to f... http://t.co\u2026
449069665,Wed Mar 26 13:59:42 +0000 2014,448821600092028928,0,False,None,en,None,0,False,"RT @BioconAcademy: Chicken from hell is not a new dish, but a Dinosaur! \n http://t.co/50DyWPKYpc \n\nRT to win! http://t.co/f737yrMBbC"
1417481636,Wed Mar 26 13:48:54 +0000 2014,448818881843306497,0,False,None,en,None,0,False,"Chicken from hell is not a new dish, but a Dinosaur! \n http://t.co/50DyWPKYpc \n\nRT to win! http://t.co/f737yrMBbC"
2296292264,Wed Mar 26 13:48:40 +0000 2014,448818823676719104,0,False,None,en,None,1,False,RT @mukundsai: #Chocolate milk is more efficient at giving you energy than most energy drinks.
130565558,Wed Mar 26 13:46:25 +0000 2014,448818256782958593,0,False,None,en,None,1,False,#Chocolate milk is more efficient at giving you energy than most energy drinks.
237179162,Wed Mar 26 13:42:41 +0000 2014,448817318148452352,0,False,None,en,None,1,False,"RT @EverythingSugar: Now you can read our daily Sugar, Ethanol, Biofuels  related news updates at -   http://t.co/P1vvjMeBVT http://t.co/WR\u2026"
263251768,Wed Mar 26 13:37:55 +0000 2014,448816115762741248,0,False,None,en,None,0,False,@CafeCoffeeDay COFFEE.. One more cup and i'll jump to warp #CCDtvQuiz
362305330,Wed Mar 26 13:37:42 +0000 2014,448816061929242624,3,False,None,en,None,0,False,"Why learn Digital Marketing: Courses, Workshops, Diploma and Coffee Cups! Tech Trick Point\nFor more information... http://t.co/3FRAst8dDs"
